能	néng	to be able; can, permitted to; ability	可能 功能 能夠	kěnéng gōngnéng nénggòu
如	rú	if, supposing; as if; like, as	如果 比如 不如	rúguǒ bǐrú bùrú
士	shì	scholar, gentleman; soldier	護士 巴士 博士	hùshi bāshì bóshì
寸	cùn	inch; small, tiny; KangXi radical 41	尺寸 分寸	chǐcun fēncun
寺	sì	court, office; temple, monastery	寺廟	sìmiào
時	shí	time, season; era, age, period	時候 小時 有時候	shíhou xiǎoshí yǒushíhou
文	wén	literature, culture, writing	英文 華文 中文	Yīngwén Huáwén Zhōngwén
水	shuǐ	water, liquid, lotion, juice	水果 開水 汽水	shuǐguǒ kāishuǐ qìshuǐ
兄	xiōng	elder brother	兄弟 弟兄	xiōngdì dìxiong
允	yǔn	to grant, to allow, to consent	允許	yǔnxǔ
兌	duì	cash; exchange, barter; weight	兌現	duìxiàn
說	shuō	speak, say, talk; scold, upbraid	說話 小說 聽說	shuōhuà xiǎoshuō tīngshuō
沒	méi	not, have not, none; to drown, sink	沒關係 沒有 沒什麼	méiguānxi méiyǒu méishénme
它	tā	it; other	它們	tāmen
他	tā	other, another; he, she, it	他們 吉他 其他	tāmen jítā qítā
看	kàn	look, see; examine, scrutinize	好看 看病 看見	hǎokàn kànbìng kànjiàn
那	nà	that, that one, those	那裡 那兒 那些	nàli nàr nàxiē
門	mén	gate, door, entrance, opening	門口 部門 出門	ménkǒu bùmén chūmén
問	wèn	ask (about), inquire after	請問 問題 訪問	qǐngwèn wèntí fǎngwèn
三	sān	three	三明治 三角形 再三	sānmíngzhì sānjiǎoxíng zàisān
生	shēng	life, living, lifetime; birth	學生 先生 生日	xuésheng Xiānsheng shēngrì
提	tí	hold in hand; lift in hand	提到 提高 提供	tídào tígāo tígōng
下	xià	under, underneath, below; down; inferior; bring down	下午 下課 下面	xiàwǔ xiàkè xiàmiàn
過	guò	pass, pass through, go across	難過 過年 經過	nánguò guònián jīngguò
員	yuán	member; personnel, staff member	服務員 店員 球員	fúwùyuán diànyuán qiúyuán
圓	yuán	circle; round, circular; complete	團圓 圓滿 圓形	tuányuán yuánmǎn yuánxíng
青	qīng	blue, green, black; young	青菜 青年 青少年	qīngcài qīngnián qīngshàonián
請	qǐng	ask, request; invite; please	請問 請假 請客	qǐngwèn qǐngjià qǐngkè
們	men	adjunct pronoun indicate plural	我們 你們 他們	wǒmen nǐmen tāmen
天	tiān	sky, heaven; god, celestial	今天 明天 昨天	jīntiān míngtiān zuótiān
戶	hù	door; family, household	窗戶 戶外 開戶	chuānghu hùwài kāihù
斤	jīn	a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69	公斤	gōngjīn
所	suǒ	place, location; numerary adjunct	所以 廁所 所有	suǒyǐ cèsuǒ suǒyǒu
夕	xī	evening, night, dusk; slanted	除夕	Chúxī
多	duō	much, many; more than, over	多少 差不多 許多	duōshǎo chàbuduō xǔduō
林	lín	forest, grove; surname	森林 樹林 園林	sēnlín Shùlín yuánlín
麻	má	hemp, jute, flax; sesame	麻煩 麻雀 麻醉	máfan máquè mázuì
麼	me	interrogative final particle; insignificant, small, tiny	什麼 怎麼樣 為什麼	shénme zěnmeyàng wèishénme
王	wáng	king, ruler; royal; surname	國王	guówáng
主	zhǔ	master, chief owner; host; lord	為主 主動 主婦	wéizhǔ zhǔdòng zhǔfù
之	zhī	marks preceding phrase as modifier of following phrase; it, him her, them; go to	之後 之間 之前	zhīhòu zhījiān zhīqián
心	xīn	heart; mind, intelligence; soul	小心 開心 擔心	xiǎoxīn kāixīn dānxīn
相	xiāng	mutual, reciprocal, each other	照相機 照相 相信	zhàoxiàngjī zhàoxiàng xiāngxìn
想	xiǎng	think, speculate, plan, consider	感想 回想 理想	gǎnxiǎng huíxiǎng lǐxiǎng
旦	dàn	dawn; morning; day	一旦 元旦	yīdàn Yuándàn
得	dé	obtain, get, gain, acquire	覺得 記得 不得不	juéde jìde bùdébù
工	gōng	labor, work; worker, laborer	工作 工廠 工人	gōngzuò gōngchǎng gōngrén
山	shān	mountain, hill, peak	山區 登山 山地	shānqū dēngshān shāndì
出	chū	go out, send out; stand; produce	出去 出生 出來	chūqù chūshēng chūlái
田	tián	field, arable land, cultivated	田野 農田 田地	tiányě nóngtián tiándì
衣	yī	clothes, clothing; cover, skin	衣服 洗衣機 毛衣	yīfu xǐyījī máoyī
由	yóu	cause, reason; from	由於 自由 不由得	yóuyú zìyóu bùyóude
袁	yuán	robe; surname		
還	hái	still, yet, also, besides	還是 還好 還不如	háishi háihǎo háibùrú
巾	jīn	kerchief; towel; turban; KangXi radical number 50	毛巾 圍巾	máojīn wéijīn
申	shēn	to state to a superior, report; extend; 9th terrestrial branch	申請	shēnqǐng
雨	yǔ	rain; rainy; KangXi radical 173	下雨 雨衣 暴雨	xiàyǔ yǔyī bàoyǔ
電	diàn	electricity, electric; lightning	電話 打電話 電腦	diànhuà dǎdiànhuà diànnǎo
羊	yáng	sheep, goat; KangXi radical 123		
對	duì	correct, right; facing, opposed	對不起 對面 對方	duìbuqǐ duìmiàn duìfāng
毛	máo	hair, fur, feathers; coarse	毛筆 毛衣 毛病	máobǐ máoyī máobìng
者	zhě	that which; he who; those who	記者 讀者 作者	jìzhě dúzhě zuòzhě
都	dū	metropolis, capital; all, the whole; elegant, refined	都市 大都 首都	dūshì Dàdū shǒudū
幾	jǐ	how many? how much?; a few, some	好幾 幾乎	hǎojǐ jīhū
機	jī	machine; moment, chance	電視機 手機 司機	diànshìjī shǒujī sījī
自	zì	self, private, personal; from	自行車 自己 親自	zìxíngchē zìjǐ qīnzì
而	ér	and; and then; and yet; but	而且 反而 總而言之	érqiě fǎnér zǒngéryánzhī
後	hòu	behind, rear, after; descendents	以後 後面 後天	yǐhòu hòumiàn hòutiān
訊	xùn	inquire; ask; examine; reproach	通訊 資訊	tōngxùn zīxùn
勿	wù	must not, do not; without, never		
家	jiā	house, home, residence; family	大家 國家 家人	dàjiā guójiā jiārén
占	zhàn	divine; observe; versify		
站	zhàn	stand up; a stand, station	車站 網站 站住	chēzhàn wǎngzhàn zhànzhù
只	zhǐ	only, just, simply	只好 只是 只要	zhǐhǎo zhǐshì zhǐyào
去	qù	go away, leave, depart	去年 出去 進去	qùnián chūqù jìnqù
矢	shǐ	arrow, dart; vow, swear		
知	zhī	know, perceive, comprehend	知道 通知 知識	zhīdào tōngzhī zhīshi
或	huò	or, either, else; perhaps, maybe	或是 或許 或多或少	huòshì huòxǔ huòduōhuòshǎo
國	guó	nation, country, nation-state	中國 美國 國家	Zhōngguó Měiguó guójiā
很	hěn	very, quite, much	得很	dehěn
台	tái	platform; unit; term of address	台灣 櫃台 上台	Táiwān guìtái shàngtái
甲	jiǎ	armor, shell; fingernails; 1st heavenly stem		
萬	wàn	ten thousand; innumerable	萬一 千萬 萬分	wànyī qiānwàn wànfēn
成	chéng	completed, finished, fixed	成功 成績 變成	Chénggōng chéngjì biànchéng
信	xìn	trust, believe; letter	信封 相信 明信片	xìnfēng xiāngxìn míngxìnpiàn
凡	fán	all, any, every; ordinary, common	不凡 凡是 非凡	bùfán fánshì fēifán
同	tóng	same, similar; together with	同事 不同 同學	tóngshì bùtóng tóngxué
何	hé	what, why, where, which, how	任何 無論如何 何必	rènhé wúlùnrúhé hébì
早	zǎo	early; soon; morning	早上 早日 早晚	zǎoshang zǎorì zǎowǎn
音	yīn	sound, tone, pitch, pronunciation	音樂 聲音 錄音	yīnyuè shēngyīn lùyīn
章	zhāng	composition; chapter, section	文章 圖章 印章	wénzhāng túzhāng yìnzhāng
首	shǒu	head; first; leader, chief; a poem	首都 首先 首府	shǒudū shǒuxiān shǒufǔ
道	dào	path, road, street; method, way	知道 味道 道德	zhīdào wèidao dàodé
刁	diāo	tricky, sly, crafty, cunning		
發	fā	issue, dispatch, send out, emit	沙發 發生 發現	shāfā fāshēng fāxiàn
地	dì	earth; soil, ground; region	地鐵 地方 地圖	dìtiě dìfāng dìtú
己	jǐ	self, oneself; personal, private; 6th heavenly stem	自己	zìjǐ
法	fǎ	law, rule, regulation, statute; France, French	語法 書法 辦法	yǔfǎ shūfǎ bànfǎ
無	wú	negative, no, not; lack, have no	無聊 無法 無論如何	wúliáo wúfǎ wúlùnrúhé
犬	quǎn	dog; radical number 94		
然	rán	yes, certainly; pledge, promise	當然 然後 雖然	dāngrán ránhòu suīrán
但	dàn	only; but, however, yet, still	不但 但是	bùdàn dànshì
向	xiàng	toward, direction, trend	方向 一向 偏向	fāngxiàng yīxiàng piānxiàng
尚	shàng	still, yet; even; fairly, rather	崇尚 風尚	chóngshàng fēngshàng
當	dāng	bear, accept, undertake; just	當然 當場 當地	dāngrán dāngchǎng dāngdì
方	fāng	a square, rectangle; a region; local	方便 地方 方法	fāngbiàn dìfāng fāngfǎ
烏	wū	crow, rook, raven; black, dark	烏龜 烏龍茶 烏鴉	wūguī wūlóngchá wūyā
於	yú	in, at, on; interjection alas!	由於 於是 在於	yóuyú yúshì zàiyú
馬	mǎ	horse; surname; KangXi radical 187	馬路 馬上 馬桶	mǎlù mǎshàng mǎtǒng
嗎	ma	final interrogative particle		
本	běn	root, origin, source; basis	日本 課本 本來	Rìběn kèběn běnlái
禾	hé	grain still on stalk; rice plant		
千	qiān	thousand; many, numerous; very; (Cant.) a cheater, swindler	千萬	qiānwàn
年	nián	year; new-years; person's age	今年 明年 去年	jīnnián míngnián qùnián
見	jiàn	see, observe, behold; perceive	再見 見面 看見	zàijiàn jiànmiàn kànjiàn
現	xiàn	appear, manifest, become visible	現在 發現 出現	xiànzài fāxiàn chūxiàn
前	qián	in front, forward; preceding	以前 前面 前天	yǐqián qiánmiàn qiántiān
耳	ěr	ear; merely, only; handle	耳朵 耳光	ěrduo ěrguāng
取	qǔ	take, receive, obtain; select	錄取 取代 考取	lùqǔ qǔdài kǎoqǔ
最	zuì	most, extremely, exceedingly	最近 最後 最初	zuìjìn zuìhòu zuìchū
且	qiě	moreover, also (post-subject); about to, will soon (pre-verb)	而且 況且 並且	érqiě kuàngqiě bìngqiě
具	jù	tool, implement; draw up, write	家具 工具 具有	jiājù gōngjù jùyǒu
真	zhēn	real, actual, true, genuine	傳真 認真 真理	chuánzhēn rènzhēn zhēnlǐ
新	xīn	new, recent, fresh, modern	新年 新聞 新鮮	xīnnián xīnwén xīnxiān
和	hé	harmony, peace; peaceful, calm	暖和 和好 和平	nuǎnhuo héhǎo Hépíng
因	yīn	cause, reason; by; because (of)	因為 因此 原因	yīnwèi yīncǐ yuányīn
果	guǒ	fruit; result	蘋果 水果 果汁	píngguǒ shuǐguǒ guǒzhī
意	yì	thought, idea, opinion; think	意思 注意 願意	yìsi zhùyì yuànyì
定	dìng	decide, settle, fix	決定 一定 安定	juédìng yīdìng Andìng
炎	yán	flame, blaze; hot	發炎 肺炎	fāyán fèiyán
黑	hēi	black; dark; evil, sinister	黑板 黑色 黑暗	hēibǎn hēisè hēiàn
點	diǎn	dot, speck, spot; point, degree	一點 一點兒 點鐘	yīdiǎn yīdiǎnr diǎnzhōng
情	qíng	feeling, sentiment, emotion	心情 事情 愛情	xīnqíng shìqing àiqíng
甘	gān	sweetness; sweet, tasty		
竹	zhú	bamboo; flute; KangXi radical 118	竹子	zhúzi
其	qí	his, her, its, their; that	其他 其次 其實	qítā qícì qíshí
頁	yè	page, sheet, leaf; rad. no. 181		
題	tí	forehead; title, headline; theme	問題 話題 題材	wèntí huàtí tícái
事	shì	affair, matter, business; to serve; accident, incident	同事 故事 事情	tóngshì gùshì shìqing
斗	dǒu	Chinese peck; liquid measure		
科	kē	section, department, science	科學 科技 科目	kēxué kējì kēmù
此	cǐ	this, these; in this case, then	如此 因此 彼此	rúcǐ yīncǐ bǐcǐ
些	xiē	little, few; rather, somewhat	一些 這些 那些	yīxiē zhèxiē nàxiē
清	qīng	clear, pure, clean; peaceful	清楚 大清早 清晨	qīngchu dàqīngzǎo qīngchén
永	yǒng	long, perpetual, eternal, forever	永遠	yǒngyuǎn
樣	yàng	shape, form, pattern, style	怎麼樣 一樣 樣子	zěnmeyàng yīyàng yàngzi
巴	bā	greatly desire, anxiously hope	嘴巴 巴士 尾巴	zuǐba bāshì wěiba
吧	ba	emphatic final particle	酒吧	jiǔbā
位	wèi	throne; position, post; rank, status; seat	座位 地位 各位	zuòwèi dìwèi gèwèi
乍	zhà	first time, for the first time		
作	zuò	make; work; compose, write; act, perform	工作 作業 當作	gōngzuò zuòyè dàngzuò
里	lǐ	unit of distance; village; lane	公里 里程 鄰里	gōnglǐ lǐchéng línlǐ
理	lǐ	reason, logic; manage	經理 管理 辦理	jīnglǐ guǎnlǐ bànlǐ
行	xíng	go; walk; move, travel; circulate	自行車 銀行 旅行	zìxíngchē yínháng lǚxíng
經	jīng	classic works; pass through	經驗 經理 經常	jīngyàn jīnglǐ jīngcháng
名	míng	name, rank, title, position	名字 姓名 報名	míngzi xìngmíng bàomíng
什	shén	file of ten soldiers; mixed, miscellaneous	什麼 為什麼 沒什麼	shénme wèishénme méishénme
身	shēn	body; trunk, hull; rad. no. 158	身體 單身 全身	shēntǐ dānshēn quánshēn
射	shè	shoot, eject, issue forth, emit	發射 注射 反射	fāshè zhùshè fǎnshè
謝	xiè	thank; decline	謝謝 感謝 多謝	xièxie gǎnxiè duōxiè
開	kāi	open; initiate, begin, start	開車 開始 開心	kāichē kāishǐ kāixīn
氏	shì	clan, family; mister	攝氏	Shèshì
干	gàn	oppose, offend; invade; dried	干擾 干涉 若干	gānrǎo gānshè ruògān
舌	shé	tongue; clapper of bell; KangXi radical 135	舌頭	shétou
話	huà	speech, talk, language; dialect	電話 打電話 說話	diànhuà dǎdiànhuà shuōhuà
與	yǔ	and; with; to; for; give, grant	參與 與其 與會	cānyù yǔqí yùhuì
貫	guàn	a string of 1000 coins; to go through	貫徹 籍貫 一貫	guànchè jíguàn yīguàn
實	shí	real, true, solid, honest	誠實 充實 老實	chéngshí chōngshí lǎoshi
愛	ài	love, be fond of, like	可愛 愛情 愛惜	kěài àiqíng àixī
再	zài	again, twice, re-	再見 一再 再度	zàijiàn yīzài zàidù
華	huá	flowery; illustrious; Chinese	華語 華文 華僑	Huáyǔ Huáwén Huáqiáo
城	chéng	castle; city, town; municipality	城市	chéngshì
東	dōng	east, eastern, eastward	東西 東部 東邊	dōngxī dōngbù dōngbian
重	zhòng	heavy, weighty; double	重要 重新 體重	zhòngyào chóngxīn tǐzhòng
動	dòng	move, happen; movement, action	運動 動物 活動	yùndòng dòngwù huódòng
比	bǐ	to compare, liken; comparison; than	比賽 比較 比如	bǐsài bǐjiào bǐrú
面	miàn	face; surface; plane; side, dimension	上面 下面 外面	shàngmiàn xiàmiàn wàimiàn
高	gāo	high, tall; lofty, elevated	高興 高速 高中	gāoxìng gāosù gāozhōng
應	yīng	should, ought to, must	應該 答應 反應	yīnggāi dāying fǎnyìng
種	zhǒng	seed; race; offspring; to plant	種類 種子 種族	zhǒnglèi zhǒngzi zhǒngzú
老	lǎo	old, aged; experienced	老師 老闆 老板	lǎoshī Lǎobǎn lǎobǎn
孝	xiào	filial piety, obedience; mourning	孝順 孝子	xiàoshùn xiàozǐ
教	jiào	teach, class	教室 教堂 教師	jiàoshì jiàotáng jiàoshī
車	chē	cart, vehicle; carry in cart	公共汽車 車子 開車	gōnggòngqìchē chēzi kāichē
分	fēn	divide; small unit of time etc.	分鐘 部分 分開	fēnzhōng bùfen fēnkāi
象	xiàng	elephant; ivory; figure, image	對象 現象 氣象	duìxiàng xiànxiàng qìxiàng
像	xiàng	a picture, image, figure; to resemble	好像 想像 佛像	hǎoxiàng xiǎngxiàng fóxiàng
系	xì	system; line, link, connection	系統 系列 體系	xìtǒng xìliè tǐxì
長	zhǎng	long; length; excel in; leader	校長 成長 家長	xiàozhǎng chéngzhǎng jiāzhǎng
已	yǐ	already; finished; stop	已經 不得已 而已	yǐjīng bùdéyǐ éryǐ
四	sì	four	四處 四方 四季	sìchù sìfāng sìjì
明	míng	bright, light, brilliant; clear	明天 明年 聰明	míngtiān míngnián cōngming
打	dǎ	strike, hit, beat; fight; attack	打電話 打算 打開	dǎdiànhuà dǎsuàn dǎkāi
泰	tài	great, exalted, superior; big		
太	tài	very, too, much; big; extreme	太太 太陽 老太太	tàitai tàiyang lǎotàitai
各	gè	each, individually, every, all	各式各樣 各位 各行各業	gèshìgèyàng gèwèi gèhánggèyè
路	lù	road, path, street; journey	走路 馬路 十字路口	zǒulù mǎlù shízìlùkǒu
走	zǒu	walk, go on foot; run; leave	走路 逃走 走道	zǒulù táozǒu zǒudào
起	qǐ	rise, stand up; go up; begin	對不起 起床 一起	duìbuqǐ qǐchuáng yīqǐ
卵	luǎn	egg; ovum; roe; spawn		
關	guān	frontier pass; close; relation	沒關係 關係 關心	méiguānxi guānxi guānxīn
閒	xián	liesure; idle; peaceful, tranquil, calm	休閒 悠閒	xiūxián yōuxián
間	jiān	interval, space; place, between	中間 洗手間 房間	zhōngjiān xǐshǒujiān fángjiān
鳥	niǎo	bird; KangXi radical 196		
鳳	fèng	male phoenix; symbol of joy		
外	wài	out, outside, external; foreign	外面 外國 外套	wàimiàn wàiguó wàitào
尼	ní	Buddhist nun; transliteration		
呢	ne	interrogative or emphatic final; (Cant.) this		
覺	jué	to wake up from sleep; conscious	覺得 睡覺 感覺	juéde shuìjiào gǎnjué
史	shǐ	history, chronicle, annals	歷史 史料	lìshǐ shǐliào
使	shǐ	cause, send on a mission, order; envoy, messenger, ambassador	使得 使用 即使	shǐde shǐyòng jíshǐ
亥	hài	12th terrestrial branch		
該	gāi	should, ought to, need to	應該 活該 該死	yīnggāi huógāi gāisǐ
友	yǒu	friend, companion; fraternity	朋友 交友 小朋友	péngyou jiāoyǒu xiǎopéngyǒu
進	jìn	advance, make progress, enter	進來 進步 進去	jìnlái jìnbù jìnqù
皇	huáng	royal, imperial; ruler, superior	皇帝	huángdì
凰	huáng	female phoenix		
她	tā	she, her	她們	tāmen
民	mín	people, subjects, citizens	民國 民族 人民	Mínguó mínzú rénmín
著	zhe	manifest; (Cant.) to wear	著急 接著 睡著	zháojí jiēzhe shuìzháo
全	quán	maintain, keep whole or intact	安全 全部 全球	ānquán quánbù quánqiú
片	piàn	slice, splinter, strip; rad. 91	照片 圖片 明信片	zhàopiàn túpiàn míngxìnpiàn
將	jiāng	will, going to, future; general	將來 即將 將要	jiānglái jíjiāng jiāngyào
少	shǎo	few, less, inadequate	多少 不少 多多少少	duōshǎo bùshǎo duōduōshǎoshǎo
兩	liǎng	two, both, pair, couple; ounce	兩極 兩口子	liǎngjí liǎngkǒuzi
加	jiā	add to, increase, augment	參加 更加 加強	cānjiā gèngjiā jiāqiáng
回	huí	return, turn around; a time	回答 回去 話說回來	huídá huíqu huàshuōhuílai
咸	xián	together; all, completely; united		
感	gǎn	feel, perceive, emotion	感冒 感謝 感覺	gǎnmào gǎnxiè gǎnjué
式	shì	style, system, formula, rule	方式 各式各樣 正式	fāngshì gèshìgèyàng zhèngshì
弟	dì	young brother; junior; i, me	弟弟 兄弟 弟兄	dìdi xiōngdì dìxiong
第	dì	sequence, number; grade, degree		
求	qiú	seek; demand, request; beseech	請求 需求 要求	qǐngqiú xūqiú yāoqiú
球	qiú	ball, sphere, globe; round	足球 籃球 網球	zúqiú lánqiú wǎngqiú
性	xìng	nature, character, sex	性別 性格 個性	xìngbié xìnggé gèxìng
呈	chéng	submit, show; appear; petition	呈現 呈獻	chéngxiàn chéngxiàn
程	chéng	journey, trip; schedule, agenda	計程車 程度 課程	jìchéngchē chéngdù kèchéng
把	bǎ	hold, take; guard; regard as	把握 把持 把手	bǎwò bǎchí bǎshǒu
皮	pí	skin, hide, fur, feather; outer	皮包 皮帶 皮膚	píbāo pídài pífū
被	bèi	passive indicator 'by'; bedding	被動 棉被 被子	bèidòng miánbèi bèizi
公	gōng	fair, equitable; public; duke	公共汽車 公司 公園	gōnggòngqìchē gōngsī gōngyuán
冊	cè	book, volume	註冊 手冊	zhùcè shǒucè
論	lùn	debate; discuss; discourse	討論 不論 理論	tǎolùn bùlùn lǐlùn
乃	nǎi	then; really, indeed; as it turned out, after all; namely		
及	jí	extend; reach; come up to; and	來不及 來得及 等不及	láibují láidejí děngbùjí
龍	lóng	dragon; symbolic of emperor	烏龍茶	wūlóngchá
校	xiào	school; military field officer	學校 校長 校園	xuéxiào xiàozhǎng xiàoyuán
別	bié	separate, other; do not	別人 特別 別的	biéren tèbié biéde
井	jǐng	well, mine shaft, pit		
曲	qū	crooked, bent; wrong, false	歌曲 曲折 插曲	gēqǔ qūzhé chāqǔ
骨	gǔ	bone; skeleton; frame, framework	骨頭	gǔtou
豆	dòu	beans, peas; bean-shaped	豆腐 豆漿 紅豆	dòufu dòujiāng hóngdòu
體	tǐ	body; group, class, body, unit	身體 體育 體會	shēntǐ tǐyù tǐhuì
合	hé	combine, unite, join; gather	符合 合唱 合作	fúhé héchàng hézuò
給	gěi	give; by, for	補給 給予 供給	bǔjǐ jǐyǔ gōngjǐ
省	shěng	province; save, economize	省錢 節省 省得	shěngqián jiéshěng shěngde
直	zhí	straight, erect, vertical	一直 簡直 直到	yīzhí jiǎnzhí zhídào
聽	tīng	hear, listen; understand; obey	聽說 打聽 聽見	tīngshuō dǎting tīngjiàn
故	gù	ancient, old; reason, because	故事 故意 故鄉	gùshì gùyì gùxiāng
做	zuò	work, make; act	當做 做法 做夢	dàngzuò zuòfǎ zuòmèng
吊	diào	condole, mourn, pity; hang	吊橋 上吊	diàoqiáo shàngdiào
常	cháng	common, normal, frequent, regular	非常 常常 經常	fēicháng chángcháng jīngcháng
您	nín	honorific for 'you'		
裡	lǐ	inside, interior, within	哪裡 這裡 那裡	nǎlǐ zhèlǐ nàli
風	fēng	wind; air; manners, atmosphere	風景 風格 風俗	fēngjǐng fēnggé fēngsú
